"row","count.x","mfp","lc","id","milk","style","dairy_id","ounces","style2","count.y","dairy","city","state","label"
"128","128","0.0137","4.8","1128","Local High Protein 1.4% [CPP9-128]","High Protein","116","64","NA","116","Bayou Dairy","Lafayette","LA","Local High Protein 1.4% [CPP9-128] (Bayou Dairy)"
"129","129","0.036","4.75","1129","Dairy Pure Organic Whole 3.6% [PYMB-129]","Organic Whole","103","128","Organic Whole","103","Blue Ridge Dairy Co.","Asheville","NC","Dairy Pure Organic Whole 3.6% [PYMB-129] (Blue Ridge Dairy Co.)"
"130","130","0.0184","4.8","1130","Premium Semi Skimmed 1.8% [0FB4-130]","Semi Skimmed","102","16","NA","102","Sunrise Creamery","Boise","ID","Premium Semi Skimmed 1.8% [0FB4-130] (Sunrise Creamery)"
"131","131","0.0342","5.07","1131","Fresh Organic Whole 3.4% [FQNP-131]","Organic Whole","108","32","NA","108","Riverbend Dairy","Portland","OR","Fresh Organic Whole 3.4% [FQNP-131] (Riverbend Dairy)"
"132","132","0.0359","4.72","1132","Cold-Filtered Organic Whole 3.6% [0RNU-132]","Organic Whole","113","64","NA","113","Evergreen Creamery","Seattle","WA","Cold-Filtered Organic Whole 3.6% [0RNU-132] (Evergreen Creamery)"
"133","133","0.0362","5.1","1133","Fresh A2 3.6% [ECGZ-133]","A2","107","64","NA","107","Prairie Gold Dairy","Fargo","ND","Fresh A2 3.6% [ECGZ-133] (Prairie Gold Dairy)"
"134","134","0.0177","4.75","1134","Dairy Pure Semi Skimmed 1.8% [FZZG-134]","Semi Skimmed","123","32","NA","123","Sierra Valley Dairies","Reno","NV","Dairy Pure Semi Skimmed 1.8% [FZZG-134] (Sierra Valley Dairies)"
"135","135","0.0012","4.85","1135","Fresh Skimmed 0.1% [UQ9E-135]","Skimmed","107","16","NA","107","Prairie Gold Dairy","Fargo","ND","Fresh Skimmed 0.1% [UQ9E-135] (Prairie Gold Dairy)"
"136","136","0.0153","4.77","1136","Classic High Protein 1.5% [C9XQ-136]","High Protein","123","64","High Protein","123","Sierra Valley Dairies","Reno","NV","Classic High Protein 1.5% [C9XQ-136] (Sierra Valley Dairies)"
"137","137","0.0038","4.66","1137","Local Skimmed 0.4% [53SK-137]","Skimmed","125","64","NA","125","Garden State Dairies","Trenton","NJ","Local Skimmed 0.4% [53SK-137] (Garden State Dairies)"
"138","138","0.0377","4.86","1138","Ultra-Fresh Organic Whole 3.8% [CH8J-138]","Organic Whole","108","16","NA","108","Riverbend Dairy","Portland","OR","Ultra-Fresh Organic Whole 3.8% [CH8J-138] (Riverbend Dairy)"
"139","139","0.0009","4.91","1139","Fresh Skimmed 0.1% [M7B5-139]","Skimmed","106","16","NA","106","Maple Meadow Farms","Burlington","VT","Fresh Skimmed 0.1% [M7B5-139] (Maple Meadow Farms)"
"140","140","0.0359","4.98","1140","Ultra-Fresh A2 3.6% [XRWK-140]","A2","125","128","A2","125","Garden State Dairies","Trenton","NJ","Ultra-Fresh A2 3.6% [XRWK-140] (Garden State Dairies)"
"141","141","0.0351","4.14","1141","Country Goat 3.5% [PRHV-141]","Goat","122","64","NA","122","Atlantic Dairy","Norfolk","VA","Country Goat 3.5% [PRHV-141] (Atlantic Dairy)"
"142","142","0.0339","4.32","1142","Pasture-Raised Goat 3.4% [LQJI-142]","Goat","112","16","Goat","112","Canyon Springs Dairy","Phoenix","AZ","Pasture-Raised Goat 3.4% [LQJI-142] (Canyon Springs Dairy)"
"143","143","0.0347","4.62","1143","Natural Goat 3.5% [LUL1-143]","Goat","113","128","NA","113","Evergreen Creamery","Seattle","WA","Natural Goat 3.5% [LUL1-143] (Evergreen Creamery)"
"144","144","0.0102","4.95","1144","Natural High Protein 1.0% [8HMB-144]","High Protein","110","128","High Protein","110","Seaside Dairies","Portsmouth","NH","Natural High Protein 1.0% [8HMB-144] (Seaside Dairies)"
"145","145","0.0172","5.04","1145","Grass-Fed Semi Skimmed 1.7% [1NOU-145]","Semi Skimmed","101","64","NA","101","Green Valley Dairies","Madison","WI","Grass-Fed Semi Skimmed 1.7% [1NOU-145] (Green Valley Dairies)"
"146","146","0.0365","4.56","1146","Golden Goat 3.7% [9YE9-146]","Goat","103","64","NA","103","Blue Ridge Dairy Co.","Asheville","NC","Golden Goat 3.7% [9YE9-146] (Blue Ridge Dairy Co.)"
"147","147","0.0365","4.7","1147","Natural Organic Whole 3.7% [SBEL-147]","Organic Whole","111","128","Organic Whole","111","Heartland Milk Co.","Des Moines","IA","Natural Organic Whole 3.7% [SBEL-147] (Heartland Milk Co.)"
"148","148","0.0016","4.91","1148","Classic Skimmed 0.2% [90KM-148]","Skimmed","117","128","NA","117","Ozark Creamery","Springfield","MO","Classic Skimmed 0.2% [90KM-148] (Ozark Creamery)"
"149","149","0.0182","4.37","1149","Organic High Protein 1.8% [9V20-149]","High Protein","110","128","High Protein","110","Seaside Dairies","Portsmouth","NH","Organic High Protein 1.8% [9V20-149] (Seaside Dairies)"
"150","150","0.0316","0.12","1150","Homestead Lactose Free 3.2% [WW4F-150]","Lactose Free","121","16","NA","121","Midtown Creamery","Chicago","IL","Homestead Lactose Free 3.2% [WW4F-150] (Midtown Creamery)"
"151","151","0.016","4.82","1151","Natural Semi Skimmed 1.6% [OHSW-151]","Semi Skimmed","123","16","NA","123","Sierra Valley Dairies","Reno","NV","Natural Semi Skimmed 1.6% [OHSW-151] (Sierra Valley Dairies)"
"152","152","0.0279","0.2","1152","Dairy Pure Lactose Free 2.8% [N8QT-152]","Lactose Free","117","64","Lactose Free","117","Ozark Creamery","Springfield","MO","Dairy Pure Lactose Free 2.8% [N8QT-152] (Ozark Creamery)"
"153","153","0.0214","0.06","1153","Natural Lactose Free 2.1% [91ZY-153]","Lactose Free","107","64","Lactose Free","107","Prairie Gold Dairy","Fargo","ND","Natural Lactose Free 2.1% [91ZY-153] (Prairie Gold Dairy)"
"154","154","0.0337","NA","1154","Creamy A2 3.4% [6OM1-154]","A2","118","64","A2","118","Great Lakes Dairy","Cleveland","OH","Creamy A2 3.4% [6OM1-154] (Great Lakes Dairy)"
"155","155","0.0167","4.82","1155","Cold-Filtered Semi Skimmed 1.7% [RHT7-155]","Semi Skimmed","123","32","NA","123","Sierra Valley Dairies","Reno","NV","Cold-Filtered Semi Skimmed 1.7% [RHT7-155] (Sierra Valley Dairies)"
"156","156","0.0206","NA","1156","Pasture-Raised Lactose Free 2.1% [WBOZ-156]","Lactose Free","124","32","Lactose Free","124","Palmetto Milk Works","Charleston","SC","Pasture-Raised Lactose Free 2.1% [WBOZ-156] (Palmetto Milk Works)"
"157","157","0.002","5.07","1157","Farmhouse Skimmed 0.2% [RH8L-157]","Skimmed","118","16","NA","118","Great Lakes Dairy","Cleveland","OH","Farmhouse Skimmed 0.2% [RH8L-157] (Great Lakes Dairy)"
"158","158","0.0375","4.69","1158","Natural Whole 3.7% [G79O-158]","Whole","108","32","NA","108","Riverbend Dairy","Portland","OR","Natural Whole 3.7% [G79O-158] (Riverbend Dairy)"
"159","159","0.0321","4.88","1159","Natural Whole 3.2% [9K9T-159]","Whole","110","32","NA","110","Seaside Dairies","Portsmouth","NH","Natural Whole 3.2% [9K9T-159] (Seaside Dairies)"
"160","160","0.0332","4.66","1160","Ultra-Fresh A2 3.3% [QJG0-160]","A2","115","32","NA","115","Keystone Milk Co.","Harrisburg","PA","Ultra-Fresh A2 3.3% [QJG0-160] (Keystone Milk Co.)"
"161","161","0.0388","4.41","1161","Homestead Goat 3.9% [YGFL-161]","Goat","121","16","NA","121","Midtown Creamery","Chicago","IL","Homestead Goat 3.9% [YGFL-161] (Midtown Creamery)"
"162","162","0.0175","4.95","1162","Farmhouse High Protein 1.8% [0AXY-162]","High Protein","108","16","NA","108","Riverbend Dairy","Portland","OR","Farmhouse High Protein 1.8% [0AXY-162] (Riverbend Dairy)"
"163","163","0.0378","4.65","1163","Dairy Pure Goat 3.8% [1YW7-163]","Goat","106","32","Goat","106","Maple Meadow Farms","Burlington","VT","Dairy Pure Goat 3.8% [1YW7-163] (Maple Meadow Farms)"
"164","164","0.0115","4.75","1164","Grass-Fed High Protein 1.2% [OTQT-164]","High Protein","105","32","High Protein","105","Coastal Creamery","San Luis Obispo","CA","Grass-Fed High Protein 1.2% [OTQT-164] (Coastal Creamery)"
"165","165","0.0176","4.86","1165","Grass-Fed Semi Skimmed 1.8% [7E36-165]","Semi Skimmed","120","32","NA","120","Appalachian Milk Co.","Knoxville","TN","Grass-Fed Semi Skimmed 1.8% [7E36-165] (Appalachian Milk Co.)"
"166","166","0.0112","4.21","1166","Classic High Protein 1.1% [DS3Q-166]","High Protein","117","128","High Protein","117","Ozark Creamery","Springfield","MO","Classic High Protein 1.1% [DS3Q-166] (Ozark Creamery)"
"167","167","0.0167","4.31","1167","Select High Protein 1.7% [JAHC-167]","High Protein","102","64","NA","102","Sunrise Creamery","Boise","ID","Select High Protein 1.7% [JAHC-167] (Sunrise Creamery)"
"168","168","0.0376","4.63","1168","Select Whole 3.8% [BO11-168]","Whole","118","64","NA","118","Great Lakes Dairy","Cleveland","OH","Select Whole 3.8% [BO11-168] (Great Lakes Dairy)"
"169","169","0.0187","4.91","1169","Dairy Pure High Protein 1.9% [YXTX-169]","High Protein","113","16","High Protein","113","Evergreen Creamery","Seattle","WA","Dairy Pure High Protein 1.9% [YXTX-169] (Evergreen Creamery)"
"170","170","0.0367","4.54","1170","Select Goat 3.7% [AAKY-170]","Goat","118","128","NA","118","Great Lakes Dairy","Cleveland","OH","Select Goat 3.7% [AAKY-170] (Great Lakes Dairy)"
"171","171","0.0135","4.28","1171","Organic High Protein 1.3% [0E3P-171]","High Protein","108","32","High Protein","108","Riverbend Dairy","Portland","OR","Organic High Protein 1.3% [0E3P-171] (Riverbend Dairy)"
"172","172","0.0347","4.94","1172","Farmhouse Whole 3.5% [IBPT-172]","Whole","104","32","NA","104","Lone Star Milk Works","Austin","TX","Farmhouse Whole 3.5% [IBPT-172] (Lone Star Milk Works)"
"173","173","0.0338","0.15","1173","Creamy Lactose Free 3.4% [VYLK-173]","Lactose Free","110","32","NA","110","Seaside Dairies","Portsmouth","NH","Creamy Lactose Free 3.4% [VYLK-173] (Seaside Dairies)"
"174","174","0.0353","4.9","1174","Dairy Pure Whole 3.5% [GYUB-174]","Whole","109","128","NA","109","Highland Cream Co.","Denver","CO","Dairy Pure Whole 3.5% [GYUB-174] (Highland Cream Co.)"
"175","175","0.0359","4.28","1175","Creamy Goat 3.6% [TII4-175]","Goat","111","128","NA","111","Heartland Milk Co.","Des Moines","IA","Creamy Goat 3.6% [TII4-175] (Heartland Milk Co.)"
"176","176","0.0398","4.43","1176","Dairy Pure Goat 4.0% [IHX7-176]","Goat","118","16","NA","118","Great Lakes Dairy","Cleveland","OH","Dairy Pure Goat 4.0% [IHX7-176] (Great Lakes Dairy)"
"177","177","0.0336","4.94","1177","Grass-Fed Whole 3.4% [5G10-177]","Whole","107","128","NA","107","Prairie Gold Dairy","Fargo","ND","Grass-Fed Whole 3.4% [5G10-177] (Prairie Gold Dairy)"
"178","178","0.0377","4.61","1178","Homestead A2 3.8% [8E9R-178]","A2","111","32","A2","111","Heartland Milk Co.","Des Moines","IA","Homestead A2 3.8% [8E9R-178] (Heartland Milk Co.)"
"179","179","0.0367","4.79","1179","Pasture-Raised Organic Whole 3.7% [MJSR-179]","Organic Whole","108","128","Organic Whole","108","Riverbend Dairy","Portland","OR","Pasture-Raised Organic Whole 3.7% [MJSR-179] (Riverbend Dairy)"
"180","180","0.0235","0.08","1180","Select Lactose Free 2.4% [HFJ7-180]","Lactose Free","111","64","Lactose Free","111","Heartland Milk Co.","Des Moines","IA","Select Lactose Free 2.4% [HFJ7-180] (Heartland Milk Co.)"
"181","181","0.0237","0.17","1181","Natural Lactose Free 2.4% [XYJ3-181]","Lactose Free","111","128","Lactose Free","111","Heartland Milk Co.","Des Moines","IA","Natural Lactose Free 2.4% [XYJ3-181] (Heartland Milk Co.)"
"182","182","0.0007","4.87","1182","Fresh Skimmed 0.1% [698S-182]","Skimmed","112","16","NA","112","Canyon Springs Dairy","Phoenix","AZ","Fresh Skimmed 0.1% [698S-182] (Canyon Springs Dairy)"
"183","183","0.0042","NA","1183","Natural Skimmed 0.4% [ASNW-183]","Skimmed","114","128","NA","114","Peach State Dairies","Savannah","GA","Natural Skimmed 0.4% [ASNW-183] (Peach State Dairies)"
"184","184","0.0331","4.42","1184","Local Goat 3.3% [9A3Y-184]","Goat","118","16","NA","118","Great Lakes Dairy","Cleveland","OH","Local Goat 3.3% [9A3Y-184] (Great Lakes Dairy)"
"185","185","0.0012","4.91","1185","Premium Skimmed 0.1% [M2C8-185]","Skimmed","117","32","NA","117","Ozark Creamery","Springfield","MO","Premium Skimmed 0.1% [M2C8-185] (Ozark Creamery)"
"186","186","0.0361","5.02","1186","Natural A2 3.6% [41DN-186]","A2","108","16","A2","108","Riverbend Dairy","Portland","OR","Natural A2 3.6% [41DN-186] (Riverbend Dairy)"
"187","187","0.0004","5.02","1187","Farmhouse Skimmed 0.0% [L996-187]","Skimmed","123","32","NA","123","Sierra Valley Dairies","Reno","NV","Farmhouse Skimmed 0.0% [L996-187] (Sierra Valley Dairies)"
"188","188","0.0127","4.92","1188","Country High Protein 1.3% [KTXG-188]","High Protein","123","16","High Protein","123","Sierra Valley Dairies","Reno","NV","Country High Protein 1.3% [KTXG-188] (Sierra Valley Dairies)"
"189","189","0.0038","4.96","1189","Golden Skimmed 0.4% [CFI4-189]","Skimmed","119","64","NA","119","Redwood Dairy","Santa Rosa","CA","Golden Skimmed 0.4% [CFI4-189] (Redwood Dairy)"
"190","190","0.004","4.94","1190","Fresh Skimmed 0.4% [0MDI-190]","Skimmed","124","64","NA","124","Palmetto Milk Works","Charleston","SC","Fresh Skimmed 0.4% [0MDI-190] (Palmetto Milk Works)"
"191","191","0.0398","4.3","1191","Golden Goat 4.0% [2QIT-191]","Goat","120","128","Goat","120","Appalachian Milk Co.","Knoxville","TN","Golden Goat 4.0% [2QIT-191] (Appalachian Milk Co.)"
"192","192","0.0336","4.47","1192","Creamy Goat 3.4% [ZCFZ-192]","Goat","119","128","Goat","119","Redwood Dairy","Santa Rosa","CA","Creamy Goat 3.4% [ZCFZ-192] (Redwood Dairy)"
"193","193","0.015","4.75","1193","Classic Semi Skimmed 1.5% [JEGQ-193]","Semi Skimmed","104","128","NA","104","Lone Star Milk Works","Austin","TX","Classic Semi Skimmed 1.5% [JEGQ-193] (Lone Star Milk Works)"
"194","194","0.0353","4.9","1194","Homestead Organic Whole 3.5% [5AO2-194]","Organic Whole","103","32","Organic Whole","103","Blue Ridge Dairy Co.","Asheville","NC","Homestead Organic Whole 3.5% [5AO2-194] (Blue Ridge Dairy Co.)"
"195","195","0.0013","4.73","1195","Dairy Pure Skimmed 0.1% [GJK2-195]","Skimmed","106","64","NA","106","Maple Meadow Farms","Burlington","VT","Dairy Pure Skimmed 0.1% [GJK2-195] (Maple Meadow Farms)"
"196","196","0.0159","4.2","1196","Country High Protein 1.6% [K8LW-196]","High Protein","124","128","NA","124","Palmetto Milk Works","Charleston","SC","Country High Protein 1.6% [K8LW-196] (Palmetto Milk Works)"
"197","197","0.0015","4.9","1197","Natural Skimmed 0.2% [RGOL-197]","Skimmed","121","32","NA","121","Midtown Creamery","Chicago","IL","Natural Skimmed 0.2% [RGOL-197] (Midtown Creamery)"
"198","198","0.0356","4.66","1198","Premium Goat 3.6% [9G1A-198]","Goat","109","32","NA","109","Highland Cream Co.","Denver","CO","Premium Goat 3.6% [9G1A-198] (Highland Cream Co.)"
"199","199","0.0191","NA","1199","Select Semi Skimmed 1.9% [RWIX-199]","Semi Skimmed","110","128","NA","110","Seaside Dairies","Portsmouth","NH","Select Semi Skimmed 1.9% [RWIX-199] (Seaside Dairies)"
"200","200","0.0158","4.53","1200","Fresh High Protein 1.6% [5PB8-200]","High Protein","120","16","High Protein","120","Appalachian Milk Co.","Knoxville","TN","Fresh High Protein 1.6% [5PB8-200] (Appalachian Milk Co.)"
"201","201","0.033","NA","1201","Select Organic Whole 3.3% [XX8L-201]","Organic Whole","122","16","Organic Whole","122","Atlantic Dairy","Norfolk","VA","Select Organic Whole 3.3% [XX8L-201] (Atlantic Dairy)"
"202","202","0.0267","0.1","1202","Classic Lactose Free 2.7% [UQO1-202]","Lactose Free","109","32","Lactose Free","109","Highland Cream Co.","Denver","CO","Classic Lactose Free 2.7% [UQO1-202] (Highland Cream Co.)"
"203","203","0.011","4.42","1203","Premium High Protein 1.1% [E7FL-203]","High Protein","101","32","High Protein","101","Green Valley Dairies","Madison","WI","Premium High Protein 1.1% [E7FL-203] (Green Valley Dairies)"
"204","204","0.011","4.72","1204","Country High Protein 1.1% [CBZA-204]","High Protein","112","16","High Protein","112","Canyon Springs Dairy","Phoenix","AZ","Country High Protein 1.1% [CBZA-204] (Canyon Springs Dairy)"
"205","205","0.0269","0.11","1205","Local Lactose Free 2.7% [PQ2W-205]","Lactose Free","106","128","NA","106","Maple Meadow Farms","Burlington","VT","Local Lactose Free 2.7% [PQ2W-205] (Maple Meadow Farms)"
"206","206","0.0253","0.09","1206","Pasture-Raised Lactose Free 2.5% [HKZ2-206]","Lactose Free","124","32","NA","124","Palmetto Milk Works","Charleston","SC","Pasture-Raised Lactose Free 2.5% [HKZ2-206] (Palmetto Milk Works)"
"207","207","0.0111","4.67","1207","Pasture-Raised High Protein 1.1% [8LNO-207]","High Protein","107","64","High Protein","107","Prairie Gold Dairy","Fargo","ND","Pasture-Raised High Protein 1.1% [8LNO-207] (Prairie Gold Dairy)"
"208","208","0.0041","4.95","1208","Ultra-Fresh Skimmed 0.4% [WDEE-208]","Skimmed","115","16","NA","115","Keystone Milk Co.","Harrisburg","PA","Ultra-Fresh Skimmed 0.4% [WDEE-208] (Keystone Milk Co.)"
"209","209","0.0026","4.81","1209","Local Skimmed 0.3% [NGWY-209]","Skimmed","123","32","NA","123","Sierra Valley Dairies","Reno","NV","Local Skimmed 0.3% [NGWY-209] (Sierra Valley Dairies)"
"210","210","0.0016","4.83","1210","Classic Skimmed 0.2% [MAE3-210]","Skimmed","105","128","NA","105","Coastal Creamery","San Luis Obispo","CA","Classic Skimmed 0.2% [MAE3-210] (Coastal Creamery)"
"211","211","0.038","4.37","1211","Homestead Goat 3.8% [U2HB-211]","Goat","116","64","NA","116","Bayou Dairy","Lafayette","LA","Homestead Goat 3.8% [U2HB-211] (Bayou Dairy)"
"212","212","0.0155","4.11","1212","Farmhouse High Protein 1.5% [13N3-212]","High Protein","115","128","NA","115","Keystone Milk Co.","Harrisburg","PA","Farmhouse High Protein 1.5% [13N3-212] (Keystone Milk Co.)"
"213","213","0.0187","4.93","1213","Fresh Semi Skimmed 1.9% [5BJ5-213]","Semi Skimmed","114","128","NA","114","Peach State Dairies","Savannah","GA","Fresh Semi Skimmed 1.9% [5BJ5-213] (Peach State Dairies)"
"214","214","0.0198","0.15","1214","Grass-Fed Lactose Free 2.0% [4VPW-214]","Lactose Free","104","32","Lactose Free","104","Lone Star Milk Works","Austin","TX","Grass-Fed Lactose Free 2.0% [4VPW-214] (Lone Star Milk Works)"
"215","215","0.0352","4.9","1215","Classic Organic Whole 3.5% [9KU8-215]","Organic Whole","119","16","NA","119","Redwood Dairy","Santa Rosa","CA","Classic Organic Whole 3.5% [9KU8-215] (Redwood Dairy)"
"216","216","0.0394","4.7","1216","Homestead Goat 3.9% [E5IZ-216]","Goat","125","128","Goat","125","Garden State Dairies","Trenton","NJ","Homestead Goat 3.9% [E5IZ-216] (Garden State Dairies)"
"217","217","0.0358","4.79","1217","Dairy Pure A2 3.6% [21O0-217]","A2","119","128","NA","119","Redwood Dairy","Santa Rosa","CA","Dairy Pure A2 3.6% [21O0-217] (Redwood Dairy)"
"218","218","0.0372","5.02","1218","Golden Whole 3.7% [8WZ4-218]","Whole","111","32","NA","111","Heartland Milk Co.","Des Moines","IA","Golden Whole 3.7% [8WZ4-218] (Heartland Milk Co.)"
"219","219","0.0127","4.83","1219","Farmhouse High Protein 1.3% [UURM-219]","High Protein","107","16","NA","107","Prairie Gold Dairy","Fargo","ND","Farmhouse High Protein 1.3% [UURM-219] (Prairie Gold Dairy)"
"220","220","0.0327","5.03","1220","Creamy Whole 3.3% [A8HY-220]","Whole","115","64","NA","115","Keystone Milk Co.","Harrisburg","PA","Creamy Whole 3.3% [A8HY-220] (Keystone Milk Co.)"
"221","221","0.0183","4.73","1221","Homestead Semi Skimmed 1.8% [6FOK-221]","Semi Skimmed","109","128","NA","109","Highland Cream Co.","Denver","CO","Homestead Semi Skimmed 1.8% [6FOK-221] (Highland Cream Co.)"
"222","222","0.015","4.84","1222","Pasture-Raised Semi Skimmed 1.5% [IYAZ-222]","Semi Skimmed","123","128","NA","123","Sierra Valley Dairies","Reno","NV","Pasture-Raised Semi Skimmed 1.5% [IYAZ-222] (Sierra Valley Dairies)"
"223","223","0.0161","NA","1223","Creamy Semi Skimmed 1.6% [DNKN-223]","Semi Skimmed","116","32","NA","116","Bayou Dairy","Lafayette","LA","Creamy Semi Skimmed 1.6% [DNKN-223] (Bayou Dairy)"
"224","224","0.0357","4.68","1224","Premium Whole 3.6% [H07W-224]","Whole","119","32","NA","119","Redwood Dairy","Santa Rosa","CA","Premium Whole 3.6% [H07W-224] (Redwood Dairy)"
"225","225","0.0038","4.89","1225","Fresh Skimmed 0.4% [8LFJ-225]","Skimmed","104","32","NA","104","Lone Star Milk Works","Austin","TX","Fresh Skimmed 0.4% [8LFJ-225] (Lone Star Milk Works)"
"226","226","0.0367","4.95","1226","Golden A2 3.7% [XKSS-226]","A2","120","64","A2","120","Appalachian Milk Co.","Knoxville","TN","Golden A2 3.7% [XKSS-226] (Appalachian Milk Co.)"
"227","227","0.0139","4.24","1227","Country High Protein 1.4% [C5AM-227]","High Protein","108","32","High Protein","108","Riverbend Dairy","Portland","OR","Country High Protein 1.4% [C5AM-227] (Riverbend Dairy)"
"228","228","0.0356","NA","1228","Cold-Filtered Goat 3.6% [81AC-228]","Goat","119","32","Goat","119","Redwood Dairy","Santa Rosa","CA","Cold-Filtered Goat 3.6% [81AC-228] (Redwood Dairy)"
"229","229","0.0365","4.48","1229","Creamy Goat 3.7% [OZCT-229]","Goat","102","64","Goat","102","Sunrise Creamery","Boise","ID","Creamy Goat 3.7% [OZCT-229] (Sunrise Creamery)"
"230","230","0.0374","0.03","1230","Ultra-Fresh Lactose Free 3.7% [V1XX-230]","Lactose Free","103","128","NA","103","Blue Ridge Dairy Co.","Asheville","NC","Ultra-Fresh Lactose Free 3.7% [V1XX-230] (Blue Ridge Dairy Co.)"
"231","231","0.0335","NA","1231","Local Whole 3.3% [WBXX-231]","Whole","108","16","NA","108","Riverbend Dairy","Portland","OR","Local Whole 3.3% [WBXX-231] (Riverbend Dairy)"
"232","232","0.033","5.08","1232","Cold-Filtered Whole 3.3% [2ZGE-232]","Whole","105","16","NA","105","Coastal Creamery","San Luis Obispo","CA","Cold-Filtered Whole 3.3% [2ZGE-232] (Coastal Creamery)"
"233","233","0.0368","4.74","1233","Dairy Pure Organic Whole 3.7% [ZUCQ-233]","Organic Whole","101","16","NA","101","Green Valley Dairies","Madison","WI","Dairy Pure Organic Whole 3.7% [ZUCQ-233] (Green Valley Dairies)"
"234","234","0.0018","4.73","1234","Farmhouse Skimmed 0.2% [U0IS-234]","Skimmed","119","16","NA","119","Redwood Dairy","Santa Rosa","CA","Farmhouse Skimmed 0.2% [U0IS-234] (Redwood Dairy)"
"235","235","0.0343","4.68","1235","Select Organic Whole 3.4% [4T60-235]","Organic Whole","116","32","Organic Whole","116","Bayou Dairy","Lafayette","LA","Select Organic Whole 3.4% [4T60-235] (Bayou Dairy)"
"236","236","0.0336","NA","1236","Farmhouse Organic Whole 3.4% [S6G2-236]","Organic Whole","114","128","Organic Whole","114","Peach State Dairies","Savannah","GA","Farmhouse Organic Whole 3.4% [S6G2-236] (Peach State Dairies)"
"237","237","0.0366","4.76","1237","Homestead A2 3.7% [QNK2-237]","A2","115","128","NA","115","Keystone Milk Co.","Harrisburg","PA","Homestead A2 3.7% [QNK2-237] (Keystone Milk Co.)"
"238","238","0.0318","NA","1238","Organic Lactose Free 3.2% [F7AT-238]","Lactose Free","116","64","Lactose Free","116","Bayou Dairy","Lafayette","LA","Organic Lactose Free 3.2% [F7AT-238] (Bayou Dairy)"
"239","239","0.0389","4.54","1239","Creamy Goat 3.9% [TIRC-239]","Goat","122","64","NA","122","Atlantic Dairy","Norfolk","VA","Creamy Goat 3.9% [TIRC-239] (Atlantic Dairy)"
"240","240","0.0379","4.32","1240","Fresh Goat 3.8% [DDE3-240]","Goat","108","16","Goat","108","Riverbend Dairy","Portland","OR","Fresh Goat 3.8% [DDE3-240] (Riverbend Dairy)"
"241","241","0.0217","0.17","1241","Homestead Lactose Free 2.2% [O3LQ-241]","Lactose Free","105","16","Lactose Free","105","Coastal Creamery","San Luis Obispo","CA","Homestead Lactose Free 2.2% [O3LQ-241] (Coastal Creamery)"
"242","242","0.0158","4.68","1242","Ultra-Fresh Semi Skimmed 1.6% [OT8H-242]","Semi Skimmed","105","128","NA","105","Coastal Creamery","San Luis Obispo","CA","Ultra-Fresh Semi Skimmed 1.6% [OT8H-242] (Coastal Creamery)"
"243","243","0.0158","4.94","1243","Fresh Semi Skimmed 1.6% [ZB4L-243]","Semi Skimmed","104","32","NA","104","Lone Star Milk Works","Austin","TX","Fresh Semi Skimmed 1.6% [ZB4L-243] (Lone Star Milk Works)"
"244","244","0.0361","4.73","1244","Homestead Whole 3.6% [BOQ0-244]","Whole","113","16","NA","113","Evergreen Creamery","Seattle","WA","Homestead Whole 3.6% [BOQ0-244] (Evergreen Creamery)"
"245","245","0.0151","5.02","1245","Fresh Semi Skimmed 1.5% [E3NW-245]","Semi Skimmed","105","64","NA","105","Coastal Creamery","San Luis Obispo","CA","Fresh Semi Skimmed 1.5% [E3NW-245] (Coastal Creamery)"
"246","246","0.038","4.7","1246","Pasture-Raised Whole 3.8% [3D43-246]","Whole","103","16","NA","103","Blue Ridge Dairy Co.","Asheville","NC","Pasture-Raised Whole 3.8% [3D43-246] (Blue Ridge Dairy Co.)"
"247","247","0.0046","4.82","1247","Local Skimmed 0.5% [RNPM-247]","Skimmed","102","64","NA","102","Sunrise Creamery","Boise","ID","Local Skimmed 0.5% [RNPM-247] (Sunrise Creamery)"
"248","248","0.0357","4.91","1248","Golden Whole 3.6% [R5RD-248]","Whole","105","32","NA","105","Coastal Creamery","San Luis Obispo","CA","Golden Whole 3.6% [R5RD-248] (Coastal Creamery)"
"249","249","0.0295","0.16","1249","Natural Lactose Free 3.0% [92MT-249]","Lactose Free","121","64","Lactose Free","121","Midtown Creamery","Chicago","IL","Natural Lactose Free 3.0% [92MT-249] (Midtown Creamery)"
"250","250","0.0343","4.69","1250","Natural Organic Whole 3.4% [H62C-250]","Organic Whole","117","64","NA","117","Ozark Creamery","Springfield","MO","Natural Organic Whole 3.4% [H62C-250] (Ozark Creamery)"
"251","251","0.0005","4.93","1251","Homestead Skimmed 0.1% [37C9-251]","Skimmed","108","128","NA","108","Riverbend Dairy","Portland","OR","Homestead Skimmed 0.1% [37C9-251] (Riverbend Dairy)"
"252","252","0.0012","4.76","1252","Creamy Skimmed 0.1% [MVZM-252]","Skimmed","106","32","NA","106","Maple Meadow Farms","Burlington","VT","Creamy Skimmed 0.1% [MVZM-252] (Maple Meadow Farms)"
"253","253","0.0331","4.62","1253","Grass-Fed A2 3.3% [VARL-253]","A2","116","32","NA","116","Bayou Dairy","Lafayette","LA","Grass-Fed A2 3.3% [VARL-253] (Bayou Dairy)"
